heure,kind,ouverture,haut,bas,cloture,n_releves
2026-09-05T23,144,17.2,17.2,17.2,17.2,51
2026-09-05T23,145,125.0,127.0,125.0,127.0,51
2026-09-05T23,146,6.6,6.6,6.6,6.6,51
2026-09-05T23,147,39.0,39.0,39.0,39.0,51
2026-09-05T23,148,33.75,33.75,33.75,33.75,51
2026-09-05T23,149,810.0,810.0,810.0,810.0,51
2026-09-05T23,150,360.0,360.0,360.0,360.0,51
2026-09-05T23,151,374.0,374.0,374.0,374.0,51
2026-09-05T23,152,232.0,232.0,232.0,232.0,51
2026-09-05T23,153,83.0,83.0,82.5,82.5,51
2026-09-05T23,154,88.5,88.5,88.5,88.5,51
2026-09-05T23,155,132.0,132.0,132.0,132.0,51
