heure,kind,quality,prix,vendu,n_evt
2026-09-04T12,143,0,915.0,5790,1
2026-09-04T13,143,0,715.0,18,1
2026-09-04T14,143,4,880.0,2000,1
2026-09-04T14,143,6,935.0,34,1
2026-09-04T15,143,6,935.0,350,1
2026-09-04T15,143,6,950.0,1000,1
2026-09-04T16,143,0,720.0,1491,1
2026-09-04T16,143,1,735.0,18,1
2026-09-04T16,143,5,920.0,817,1
2026-09-04T17,143,3,870.0,1309,1
2026-09-04T17,143,4,875.0,19,1
2026-09-04T17,143,4,880.0,69,1
2026-09-04T17,143,5,920.0,2400,1
2026-09-04T17,143,7,960.0,122,2
2026-09-04T17,143,9,1100.0,21,1
2026-09-04T18,143,0,715.0,50,1
2026-09-04T18,143,3,825.0,100,1
2026-09-04T18,143,6,950.0,41,1
2026-09-04T18,143,9,1100.0,10,1
