heure,kind,quality,prix,vendu,n_evt
2026-09-04T12,44,0,1.25,281256,2
2026-09-04T12,44,0,1.35,200000,1
2026-09-04T13,44,0,1.24,20165,1
2026-09-04T14,44,0,1.22,85600,1
2026-09-04T14,44,0,1.25,7394,1
2026-09-04T14,44,1,1.29,73476,1
2026-09-04T14,44,2,1.28,97223,1
2026-09-04T14,44,2,1.3,16639,1
2026-09-04T14,44,2,1.31,19064,1
2026-09-04T14,44,4,1.33,118930,1
2026-09-04T15,44,0,1.25,12000,1
2026-09-04T15,44,0,1.26,208774,3
2026-09-04T15,44,1,1.28,109764,1
2026-09-04T15,44,1,1.29,152048,2
2026-09-04T15,44,2,1.29,76940,1
2026-09-04T15,44,2,1.3,81944,1
2026-09-04T15,44,2,1.31,11509,1
2026-09-04T16,44,0,1.26,380155,2
2026-09-04T16,44,0,1.27,82038,1
2026-09-04T16,44,0,1.28,20402,1
2026-09-04T16,44,1,1.28,144094,1
2026-09-04T16,44,2,1.3,6000,1
2026-09-04T16,44,3,1.29,201109,2
2026-09-04T16,44,5,1.33,45876,1
2026-09-04T17,44,0,1.27,5445,1
2026-09-04T17,44,0,1.28,84465,1
2026-09-04T17,44,1,1.28,2000,1
2026-09-04T17,44,1,1.29,76740,1
2026-09-04T17,44,2,1.27,68483,1
2026-09-04T17,44,2,1.28,71560,1
2026-09-04T17,44,2,1.31,27114,1
2026-09-04T17,44,5,1.33,400606,2
2026-09-04T18,44,2,1.27,677419,3
