heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,70,0,800.0,11,,1
2026-09-04T13,70,2,800.0,802,,1
2026-09-04T14,70,2,800.0,10,,1
2026-09-04T14,70,2,805.0,383,,1
2026-09-04T15,70,2,805.0,25,,2
2026-09-04T16,70,2,805.0,10,,1
2026-09-04T17,70,2,805.0,8,,1
2026-09-04T21,70,0,800.0,176,,2
2026-09-04T21,70,0,805.0,16,,2
2026-09-04T21,70,3,815.0,159,,1
2026-09-04T21,70,5,810.0,1,,1
2026-09-04T21,70,5,815.0,1,,1
2026-09-04T23,70,0,790.0,0,139,1
2026-09-04T23,70,0,800.0,0,229,1
2026-09-04T23,70,0,805.0,305,0,1
2026-09-04T23,70,2,795.0,0,637,1
