heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,114,0,915.0,156,,1
2026-09-04T13,114,0,655.0,38,,1
2026-09-04T13,114,3,920.0,45,,1
2026-09-04T14,114,0,655.0,1,,1
2026-09-04T14,114,0,665.0,33,,1
2026-09-04T14,114,1,910.0,80,,1
2026-09-04T15,114,0,650.0,7,,2
2026-09-04T15,114,0,660.0,36,,1
2026-09-04T15,114,1,910.0,102,,1
2026-09-04T15,114,4,925.0,540,,1
2026-09-04T15,114,5,935.0,393,,1
2026-09-04T16,114,0,650.0,66,,3
2026-09-04T16,114,1,905.0,67,,2
2026-09-04T16,114,4,925.0,330,,1
2026-09-04T17,114,0,655.0,21,,1
2026-09-04T17,114,0,660.0,19,,1
2026-09-04T17,114,1,905.0,38,,3
2026-09-04T18,114,0,655.0,5,,2
2026-09-04T18,114,1,905.0,70,,1
2026-09-04T18,114,5,910.0,925,,2
2026-09-04T21,114,0,650.0,141,,2
2026-09-04T21,114,4,920.0,474,,2
2026-09-04T21,114,4,925.0,340,,1
2026-09-04T21,114,5,935.0,365,,1
2026-09-04T21,114,5,940.0,170,,2
2026-09-04T21,114,5,945.0,85,,1
2026-09-04T21,114,5,950.0,11,,1
2026-09-04T23,114,0,650.0,17,0,2
2026-09-04T23,114,4,930.0,170,0,1
2026-09-05T00,114,0,650.0,82,47,3
2026-09-05T00,114,1,915.0,90,0,2
2026-09-05T00,114,7,1000.0,0,16,1
2026-09-05T00,114,7,1060.0,14,0,1
2026-09-05T01,114,0,650.0,1,61,3
2026-09-05T01,114,0,655.0,179,0,1
2026-09-05T01,114,1,915.0,238,0,1
2026-09-05T01,114,2,930.0,469,0,1
2026-09-05T01,114,4,930.0,0,167,1
2026-09-05T01,114,4,935.0,132,0,1
2026-09-05T02,114,0,650.0,52,0,3
2026-09-05T02,114,1,910.0,0,1,1
2026-09-05T02,114,1,915.0,89,0,1
2026-09-05T03,114,0,650.0,60,0,1
2026-09-05T03,114,1,915.0,0,15,1
2026-09-05T03,114,2,930.0,320,0,1
2026-09-05T03,114,3,935.0,676,0,1
2026-09-05T03,114,4,935.0,0,692,1
2026-09-05T04,114,0,650.0,42,0,2
2026-09-05T04,114,1,920.0,236,0,2
2026-09-05T04,114,2,930.0,0,25,1
2026-09-05T04,114,3,935.0,297,0,2
2026-09-05T05,114,0,650.0,37,0,2
2026-09-05T05,114,3,930.0,962,0,2
2026-09-05T06,114,0,650.0,0,107,2
2026-09-05T06,114,0,655.0,0,29,1
2026-09-05T06,114,0,660.0,0,165,1
